NDC5_4,PRODUCTTYPENAME,PROPRIETARYNAME,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,isgeneric,isoral
000021433,HUMAN PRESCRIPTION DRUG,trulicity,dulaglutide,INJECTION,SUBCUTANEOUS,0,0
000021434,HUMAN PRESCRIPTION DRUG,trulicity,dulaglutide,INJECTION,SUBCUTANEOUS,0,0
000021436,HUMAN PRESCRIPTION DRUG,emgality,galcanezumab-gnlm,INJECTION,SUBCUTANEOUS,0,0
000021445,HUMAN PRESCRIPTION DRUG,taltz,ixekizumab,INJECTION,SUBCUTANEOUS,0,0
000022236,HUMAN PRESCRIPTION DRUG,trulicity,dulaglutide,INJECTION,SUBCUTANEOUS,0,0
000022377,HUMAN PRESCRIPTION DRUG,emgality,galcanezumab-gnlm,INJECTION,SUBCUTANEOUS,0,0
000022980,HUMAN PRESCRIPTION DRUG,retevmo,selpercatinib,CAPSULE,ORAL,0,1
000023115,HUMAN PRESCRIPTION DRUG,emgality,galcanezumab-gnlm,INJECTION,SUBCUTANEOUS,0,0
000023182,HUMAN PRESCRIPTION DRUG,trulicity,dulaglutide,INJECTION,SUBCUTANEOUS,0,0
000023227,HUMAN PRESCRIPTION DRUG,strattera,atomoxetine hydrochloride,CAPSULE,ORAL,0,1
000023228,HUMAN PRESCRIPTION DRUG,strattera,atomoxetine hydrochloride,CAPSULE,ORAL,0,1
000023229,HUMAN PRESCRIPTION DRUG,strattera,atomoxetine hydrochloride,CAPSULE,ORAL,0,1
000023230,HUMAN PRESCRIPTION DRUG,symbyax,olanzapine and fluoxetine hydrochloride,CAPSULE,ORAL,0,1
000023231,HUMAN PRESCRIPTION DRUG,symbyax,olanzapine and fluoxetine hydrochloride,CAPSULE,ORAL,0,1
000023235,HUMAN PRESCRIPTION DRUG,cymbalta,duloxetine hydrochloride,CAPSULE,ORAL,0,1
000023238,HUMAN PRESCRIPTION DRUG,strattera,atomoxetine hydrochloride,CAPSULE,ORAL,0,1
000023239,HUMAN PRESCRIPTION DRUG,strattera,atomoxetine hydrochloride,CAPSULE,ORAL,0,1
000023240,HUMAN PRESCRIPTION DRUG,cymbalta,duloxetine hydrochloride,CAPSULE,ORAL,0,1
000023250,HUMAN PRESCRIPTION DRUG,strattera,atomoxetine hydrochloride,CAPSULE,ORAL,0,1
000023251,HUMAN PRESCRIPTION DRUG,strattera,atomoxetine hydrochloride,CAPSULE,ORAL,0,1
000023270,HUMAN PRESCRIPTION DRUG,cymbalta,duloxetine hydrochloride,CAPSULE,ORAL,0,1
000023977,HUMAN PRESCRIPTION DRUG,retevmo,selpercatinib,CAPSULE,ORAL,0,1
000024112,HUMAN PRESCRIPTION DRUG,zyprexa,olanzapine,TABLET,ORAL,0,1
000024115,HUMAN PRESCRIPTION DRUG,zyprexa,olanzapine,TABLET,ORAL,0,1
000024116,HUMAN PRESCRIPTION DRUG,zyprexa,olanzapine,TABLET,ORAL,0,1
000024117,HUMAN PRESCRIPTION DRUG,zyprexa,olanzapine,TABLET,ORAL,0,1
000024182,HUMAN PRESCRIPTION DRUG,olumiant,baricitinib,TABLET,ORAL,0,1
000024184,HUMAN PRESCRIPTION DRUG,evista,raloxifene hydrochloride,TABLET,ORAL,0,1
000024312,HUMAN PRESCRIPTION DRUG,reyvow,lasmiditan,TABLET,ORAL,0,1
000024415,HUMAN PRESCRIPTION DRUG,zyprexa,olanzapine,TABLET,ORAL,0,1
000024420,HUMAN PRESCRIPTION DRUG,zyprexa,olanzapine,TABLET,ORAL,0,1
000024453,HUMAN PRESCRIPTION DRUG,zyprexa,olanzapine,TABLET,ORAL,0,1
000024454,HUMAN PRESCRIPTION DRUG,zyprexa,olanzapine,TABLET,ORAL,0,1
000024455,HUMAN PRESCRIPTION DRUG,zyprexa,olanzapine,TABLET,ORAL,0,1
000024456,HUMAN PRESCRIPTION DRUG,zyprexa,olanzapine,TABLET,ORAL,0,1
000024462,HUMAN PRESCRIPTION DRUG,cialis,tadalafil,TABLET,ORAL,0,1
000024463,HUMAN PRESCRIPTION DRUG,cialis,tadalafil,TABLET,ORAL,0,1
000024464,HUMAN PRESCRIPTION DRUG,cialis,tadalafil,TABLET,ORAL,0,1
000024465,HUMAN PRESCRIPTION DRUG,cialis,tadalafil,TABLET,ORAL,0,1
000024483,HUMAN PRESCRIPTION DRUG,verzenio,abemaciclib,TABLET,ORAL,0,1
000024491,HUMAN PRESCRIPTION DRUG,reyvow,lasmiditan,TABLET,ORAL,0,1
000024732,HUMAN PRESCRIPTION DRUG,olumiant,baricitinib,TABLET,ORAL,0,1
000024815,HUMAN PRESCRIPTION DRUG,verzenio,abemaciclib,TABLET,ORAL,0,1
000025123,HUMAN PRESCRIPTION DRUG,effient,prasugrel hydrochloride,TABLET,ORAL,0,1
000025337,HUMAN PRESCRIPTION DRUG,verzenio,abemaciclib,TABLET,ORAL,0,1
000026145,HUMAN PRESCRIPTION DRUG,baqsimi,glucagon,POWDER,NASAL,0,0
000026216,HUMAN PRESCRIPTION DRUG,verzenio,abemaciclib,TABLET,ORAL,0,1
000026885,HUMAN PRESCRIPTION DRUG,baricitinib,baricitinib,TABLET,ORAL,1,1
